,tweet,name_author,user_tag,favourite_count,retweet_count,created_at
0,Good morning. Makes my day to see a #Tesla first thing. #Tokyo #Japan #東京 #日本 https://t.co/uzzKTfI3kj,Terry Cormier,@DCStars,0,0,2022-06-21 02:33:16+00:00
1,"#Tesla #TSLA #TechnicalIndicator Market Types (MT) 
-0.9982 | Extreme Fear 

View interactive details: 
https://t.co/TYaiR9u6EX 

@ioBotsPro @ReiSoleil https://t.co/nSgrCKA5U6",ioBots Alerts,@IOB_llc,0,0,2022-06-21 02:30:11+00:00
2,"$TSLA winnings of initial #BTC investment🙌

$-559112143 (-41.42 %) (Realized: 272 M)
(Estimating an average buy price of $35000/BTC with now 38,700 BTC holdings $BTCUSD)
#Tesla #Bitcoin #crypto",MBrae,@MBrae3,0,0,2022-06-21 02:30:05+00:00
3,@itskyleconner @BjornNyland This has happened **Never** at each and every #Tesla supercharger for all my road trips since 2018.  I've seen a few examples in the news of vandalized and cut cords but that isn't Tesla's fault.,Lawrence 4.68e+3 🔋,@Avatrode,1,0,2022-06-21 02:26:28+00:00
4,RT @TeslaDiva99: So let’s talk Charging for our Great American Adventure 🇺🇸 if we would have taken my husband’s vehicle it would of cost be…,The Mortika Lacrosse (Kai),@mortikalacrosse,0,2,2022-06-21 02:24:29+00:00
5,"Biden should give a $15,000 tax credit for EV's. Especially #Tesla considering they pretty much the only EV out. 

Biden needs to stop being a cuck to the unions. The unions already destroyed Detroit. Stop living in the past.",Michael Monk,@b8fgq5fd92,0,0,2022-06-21 02:24:00+00:00
6,"RT @nasalahe: #Tesla number 81 000 was just registered in Norway 🇳🇴🔋🥳

It was a Model Y Performance from Berlin 🇩🇪

Source: https://t.co/P6…",Lady Zebbidy + Dog 🇬🇧🏴󠁧󠁢󠁥󠁮󠁧󠁿 🏴‍☠️,@tearsintherain1,0,38,2022-06-21 02:22:04+00:00
7,RT @BS__Exposed: Many employees leave #Tesla's new factory in Berlin. According to this article mostly because of unequal/low salaries and…,Graham Jervis 🇯🇲,@JervisCapital,0,38,2022-06-21 02:21:41+00:00
8,"RT @josiahrocco: F150 Lightning charging our Tesla Model Y and running a compressor, vacuum, work light, and charging a battery. Incredible…",Brian C,@pinrail,0,114,2022-06-21 02:21:40+00:00
9,"RT @black_40years: For dear Mr. Musk♥️
What do you think Mr.Musk?
✔️Tesla Ceremonial Car
@Tesla 
@elonmusk 
#Tesla #diplomat https://t.co/C…",Mj.Front Gear.,@ryuiechi,0,1,2022-06-21 02:20:47+00:00
10,"#Tesla $TSLA #Options #trade of the week!  Take a look!

https://t.co/jRueJLihWL",Chuck fulkerson,@chuck_fulkerson,0,0,2022-06-21 02:18:18+00:00
11,"RT @YRaikens: Win a Tesla Supercar Model X® Plaid. Closes June 25, 2022. No donation or payment is necessary to enter or win this sweepstak…",Anky,@ankitdhanraj1,0,1,2022-06-21 02:17:40+00:00
12,"RT @MagicCraftGame: 📢#MagicCraft Genesis #NFT AirDrop 📢

🗓️ $MCRT Genesis NFT AirDrop will take place June 13th – July 3rd, 1 pm UTC

🤑$50,…",wuuu,@cryptwu,0,164,2022-06-21 02:11:05+00:00
13,RT @business_today: Former #Tesla employees have filed a lawsuit against the #ElonMusk-led electric car maker alleging its decision to carr…,𝐏𝐫𝐢𝐲𝐚𝐧𝐬𝐡𝐮 𝐃𝐞𝐞𝐩𝐚𝐤 𝐏𝐚𝐭𝐫𝐞𝐰𝐚𝐥,@DeepakPatrewal,0,1,2022-06-21 02:10:58+00:00
14,"Former #Tesla employees have filed a lawsuit against the #ElonMusk-led electric car maker alleging its decision to carry out a ""mass layoff"" violated federal law. | @elonmusk 

https://t.co/bLh1XGNgZj",Business Today,@business_today,2,1,2022-06-21 02:10:47+00:00
15,"I’m waiting to 2023 for buy a car, and I see some rumors of the new model Q 👀 @elonmusk 🐐, is this true?  #Tesla  or someone to know about this",Luis Mercado,@luismrkdo,0,0,2022-06-21 02:10:28+00:00
